file,code,message,count
SkiaSharpAPI/SkiaSharp.Views.WPF/SKGLElement.xml,xref-not-found,Cross reference not found: 'OpenTK.Wpf.GLWpfControl'.,1
SkiaSharpAPI/SkiaSharp.Views.Windows/AngleSwapChainPanel.xml,xref-not-found,Cross reference not found: 'Microsoft.UI.Xaml.Controls.SwapChainPanel'.,1
SkiaSharpAPI/SkiaSharp.Views.Windows/SKSwapChainPanel.xml,xref-not-found,Cross reference not found: 'Microsoft.UI.Xaml.Controls.SwapChainPanel'.,1
SkiaSharpAPI/SkiaSharp.Views.Windows/SKXamlCanvas.xml,xref-not-found,Cross reference not found: 'Microsoft.UI.Xaml.Controls.Canvas'.,1
SkiaSharpAPI/SkiaSharp.Views.Windows/WindowsExtensions.xml,xref-not-found,Cross reference not found: 'Microsoft.UI.Xaml.Media.Imaging.WriteableBitmap'.,7
SkiaSharpAPI/SkiaSharp/GRSharpVkBackendContext.xml,xref-not-found,Cross reference not found: 'SharpVk.Device'.,1
SkiaSharpAPI/SkiaSharp/GRSharpVkBackendContext.xml,xref-not-found,Cross reference not found: 'SharpVk.Instance'.,1
SkiaSharpAPI/SkiaSharp/GRSharpVkBackendContext.xml,xref-not-found,Cross reference not found: 'SharpVk.PhysicalDevice'.,1
SkiaSharpAPI/SkiaSharp/GRSharpVkBackendContext.xml,xref-not-found,Cross reference not found: 'SharpVk.PhysicalDeviceFeatures'.,1
SkiaSharpAPI/SkiaSharp/GRSharpVkBackendContext.xml,xref-not-found,Cross reference not found: 'SharpVk.Queue'.,1
SkiaSharpAPI/SkiaSharp/GRSharpVkGetProcedureAddressDelegate.xml,xref-not-found,Cross reference not found: 'SharpVk.Device'.,1
SkiaSharpAPI/SkiaSharp/GRSharpVkGetProcedureAddressDelegate.xml,xref-not-found,Cross reference not found: 'SharpVk.Instance'.,1
SkiaSharpAPI/SkiaSharp/GRVkExtensionsSharpVkExtensions.xml,xref-not-found,Cross reference not found: 'SharpVk.Instance'.,2
SkiaSharpAPI/SkiaSharp/GRVkExtensionsSharpVkExtensions.xml,xref-not-found,Cross reference not found: 'SharpVk.PhysicalDevice'.,2
SkiaSharpAPI/SkiaSharp/GRVorticeD3DBackendContext.xml,xref-not-found,Cross reference not found: 'Vortice.DXGI.IDXGIAdapter1'.,1
SkiaSharpAPI/SkiaSharp/GRVorticeD3DBackendContext.xml,xref-not-found,Cross reference not found: 'Vortice.Direct3D12.ID3D12CommandQueue'.,1
SkiaSharpAPI/SkiaSharp/GRVorticeD3DBackendContext.xml,xref-not-found,Cross reference not found: 'Vortice.Direct3D12.ID3D12Device2'.,1
SkiaSharpAPI/SkiaSharp/GRVorticeD3DTextureResourceInfo.xml,xref-not-found,Cross reference not found: 'Vortice.DXGI.Format'.,1
SkiaSharpAPI/SkiaSharp/GRVorticeD3DTextureResourceInfo.xml,xref-not-found,Cross reference not found: 'Vortice.Direct3D12.ID3D12Resource'.,1
SkiaSharpAPI/SkiaSharp/GRVorticeD3DTextureResourceInfo.xml,xref-not-found,Cross reference not found: 'Vortice.Direct3D12.ResourceStates'.,1
SkiaSharpAPI/SkiaSharp/SKPathBuilder.xml,xref-not-found,Cross reference not found: 'SkiaSharp.SKPathBuilder.Dispose'.,1
